jokes,is_funny,proba
"title: Why is it so hard to break up with a Japanese Girl? 
body: She's my mother.",0,0.4745795428752899
"title: Why did the chicken cross the road? 
body:

""I saw him""

""What's a chicken's favorite color?""

""Red""

""What did the chicken say to the guy who was making fun of him?""

""I'm sorry""

""I guess you couldn't have a good one""",1,0.6871779561042786
"title: Why did the producers of 007 films use government debt to fund their newest film? 
body:

I'm not sure, it was just the most exciting thing to be a Bond villain.",1,0.5156989097595215
"title: I feel so bad for the necrophiliac's sister. 
body: 

""This woman is a disgrace!""",0,0.46388158202171326
"title: What's the difference between you and a Calendar? 
body:
 body: I got one with a Calendar."" - Chris Perna",1,0.7167595028877258
"title: This guy proposed to his wife after walking away from a terrible car accident without a scratch. He said ""Life's too short and it can end at any time."" 
body: He asked how she felt about the proposal. She replied ""I'm a wreck.""  He replied, ""Don't worry, I'm a wreck, too""",1,0.770248293876648
"title: Roses are red. 
body:

Sans: They're just roses.""

The next day, Johnny comes home with a jar of rose petals. 

Sans goes ""Oh, Johnny, don't be silly.  We still have plenty of roses.""

Johnny gets confused and shouts ""No!  We have just enough roses for both of us.""

Sans says ""That's why you're the only one left!""",1,0.7679027915000916
"title: These reports of a major snowstorm hitting the Northeast don't concern me. 
body: I have seen worse.""

""Well,"" says the president, ""I'll be waiting on my turn, then.""

At that moment, a voice from the air begins to tell them that the president has been assassinated. After a few moments of silence, another voice from the air says, ""It seems that the president was murdered. He was not only the president of the United States, but also a true man of the people.""",1,0.7557467222213745
"title: Those ads actually ran. 
body: When someone read them, I was surprised by how good they were.  I mean, everyone has a favorite type of ad, and when you see one, you instantly get a second opinion.  I'm sure you'll love these too.",1,0.6978546380996704
"title: Burnt my Hawaiian pizza today. 
body: I got it by mistake""",1,0.5039514303207397
"title: I hate how you cant even say black paint anymore. 
body:

The next time I see her I'm going to smack it on the sidewalk and run over to the cop and ask if she's okay. 

EDIT: I'm not racist.",1,0.645866870880127
"title: What's the difference between a Jew in Nazi Germany and pizza ? 
body:

a.) You can eat the pizza.

b.) You can't.",0,0.47339871525764465
"title: I recently went to America.... 
body:

When I got there I told the waiter he was a good fish.",1,0.6523662209510803
"title: Brian raises his hand and says, “He’s in Heaven.” 
body:

The old man agrees and they shake hands. The old man says, “That was brilliant.”

The old man takes the old man's hand and says, “You should stop drinking the water. If you did, you would be in Heaven.”",1,0.7672390341758728
"title: You hear about the University book store worker who was charged for stealing $20,000 worth of books? 
body:

The guy said, ""That was a load off my back.""",1,0.7311133146286011
"title: Why is it unknown on how pterodactyls urinate especially during flight? 
body:

- Because they're all about the flight.",1,0.5129250884056091
"title: Why women need legs? 
body:

To make women better husbands.",1,0.5680716037750244
"title: I walked into a PETA adoption center and the receptionist asked me what kind of dog I wanted 
body:
and I told her I wanted a Maltese.

He told me to sit down and give the dog a good long look and when she gave it another look I said,
""No, you don't have a dog, you have a goat!""",1,0.7589813470840454
"title: How did TV studios make words appear on screen before computers? 
body:

(thanks to the internet)


I have a new video game on my iDevice, do I need to uninstall it?",1,0.5137254595756531
"title: How do you find Will Smith in the snow? 
body:

He lives in the woods.",1,0.5463953614234924
"title: Remember when you were a kid and when you cried your parents said, ""I'll give you a reason to cry""? 
body:

That's what I think to you right now. Now you'll cry until you get another chance. 

-Tom",1,0.7212382555007935
"title: Remember, you can't spell Valentine's Day without... 
body:
 

DUDE, SHIT.",0,0.43985727429389954
"title: Happy try not to jump off a bridge day! 
body:
 body: But don't jump off a bridge day unless you have the nerve!",1,0.6276485323905945
"title: My boss said to me, ""you're the worst train driver ever. How many have you derailed this year?"" 
body:

""None,"" I replied.

""Why?"" he asked.

""Because you haven't paid me anything since you came into the office.""",1,0.6314379572868347
"title: If I get a bird I'm naming it Trump 
body:!""",1,0.563739538192749
"title: I was going to get a headjob for Valentines Day 
body:
I'm thinking of taking a head and ass shave.",1,0.5441258549690247
"title: A mother went into a coma after giving birth to twins 
body:
She woke up screaming her baby had been shot and threw his arms around her in a hug. 
The police officer looked at his partner on the ground and said, ""What the fuck are you doing?""

The man replied, ""I'm going to have a party.""",1,0.7639860510826111
"title: What do you call an exercise machine with a strobe light? 
body:
[Slightly embarrassed] 
[Mildly embarrassed] 
[Slightly embarrassed again] 
[Not so much] 
[A little ashamed]",1,0.6445397138595581
"title: My dad has a heart of a lion 
body:

he gets me going so I'll give it one last push and I'll never be sorry!",1,0.6648669838905334
"title: Smaller babies may be delivered by a stork. 
body:

Smaller babies may also be delivered by a cow and milk. 

Smaller babies are better fed by a vegetarian diet.",1,0.587964653968811
"title: A monkey is getting stoned in a zoo... 
body:

My friend says, ""What's wrong with that picture?""",1,0.5408248901367188
"title: I've translated a popular Russian joke to English , wanna hear you reaction )) 
body:

(You get up and walk off.)",0,0.4964803159236908
"title: What did the mommy bean say to her son when he asked for money? 
body:

""I'll never know""...",1,0.5802544951438904
"title: When You Break Up At 11:59 Tonight 
body:

It's funny but it really doesn't matter what you think

Just remember not to ever leave the house without it",1,0.6954775452613831
"title: I wanted to buy an Audi. 
body: I found one at the garage and I'm glad I did.  They have great audio quality.  I had to do it like this every time I drove by.",1,0.6293137073516846
"title: I'm Trying to Remember The Name of A Song 
body:

I'm Trying to Keep the Name of A Song In My Head

I'm Trying To Remember the Name Of A Song 

I'm Trying to Keep the Name of A Song 

I'm Trying to Keep the Name Of A Song 

I'm Trying to Keep the Name of a Song 

I'm Trying to Keep the Name of a Song",1,0.7357695698738098
"title: What are minorities? 
body:

Blacks.

Why are Blacks so bad at politics? Because they can't understand people.",0,0.4823788106441498
"title: Did you hear that Donald Trump is technically a plant? 
body:

P.S. I think the person who made this joke has been banned from all of reddit. I think you guys need to do something about this.

Edit: I just got a ""You're not welcome"" on my friend's friend's profile.",1,0.7471399307250977
"title: i had trouble swallowing a viagra last night 
body: because I didn't think I could swallow it.",1,0.6690614819526672
"title: What is the king of all school supplies? 
body:

A: A pencil. 

What is the father of all school supplies?

A: A bible. 

Who is the king of all school supplies?

A: The King of England.",1,0.6176402568817139
"title: A rugby player was hurt very badly during a scrum and he had both of his ears ripped off... 
body: And it was his friend who found his ear and said, ""I'm so sorry"".",1,0.6584683060646057
"title: A man was in his front yard mowing grass when his attractive blonde female !! 
body:
I told him I wanted to do something,
and he replied, 'no, you are a pig' 
So I agreed and he let me have a bit of the grass
and I was a very happy pig.",1,0.7622746229171753
